pagec,content_type,type,agency,dest,byte_len,is_avail,fn,type_text
19,pdf,0,Department of Labor and Employment,Department of Labor and Employment/summary.txt,40758,True,03-DOLE2020_Executive_Summary.pdf,Executive Summary
11,pdf,0,Bureau of Workers with Special Concerns - Social Amelioration Program,Bureau of Workers with Special Concerns - Social Amelioration Program/summary.txt,23104,True,03-BWSC2020_Executive_Summary.pdf,Executive Summary
4,pdf,0,Institute for Labor Studies,Institute for Labor Studies/summary.txt,9458,True,03-ILS2020_Executive_Summary.pdf,Executive Summary
10,pdf,0,National Conciliation and Mediation Board,National Conciliation and Mediation Board/summary.txt,21453,True,03-NCMB2020_Executive_Summary.pdf,Executive Summary
13,pdf,0,National Labor Relations Commission,National Labor Relations Commission/summary.txt,32433,True,03-NLRC2020_Executive_Summary.pdf,Executive Summary
9,pdf,0,National Wages and Productivity Commission,National Wages and Productivity Commission/summary.txt,16485,True,03-NWPC2020_Executive_Summary.pdf,Executive Summary
12,pdf,0,Professional Regulation Commission,Professional Regulation Commission/summary.txt,21463,True,03-PRC2020_Executive_Summary.pdf,Executive Summary
10,pdf,0,Philippine Overseas Employment Administration,Philippine Overseas Employment Administration/summary.txt,23171,True,03-POEA2020_Executive_Summary.pdf,Executive Summary
12,pdf,0,Department of Public Works and Highways,Department of Public Works and Highways/summary.txt,28521,True,03-DPWH2020_Executive_Summary.pdf,Executive Summary
7,pdf,0,Department of Science and Technology,Department of Science and Technology/summary.txt,16167,True,03-DOST2020_Executive_Summary.pdf,Executive Summary
3,pdf,0,Advanced Science and Technology Institute,Advanced Science and Technology Institute/summary.txt,5967,True,03-ASTI2020_Executive_Summary.pdf,Executive Summary
6,pdf,0,Food and Nutrition Research Institute,Food and Nutrition Research Institute/summary.txt,11253,True,03-FNRI2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,Metals Industry Research and Development Center,Metals Industry Research and Development Center/summary.txt,9628,True,03-MIRDC2020_Executive_Summary.pdf,Executive Summary
4,pdf,0,Industrial Technology Development Institute,Industrial Technology Development Institute/summary.txt,8731,True,03-ITDI2020_Executive_Summary.pdf,Executive Summary
6,pdf,0,National Academy of Science and Technology,National Academy of Science and Technology/summary.txt,12354,True,03-NAST2020_Executive_Summary.pdf,Executive Summary
6,pdf,0,National Research Council of the Philippines,National Research Council of the Philippines/summary.txt,12655,True,03-NRCP2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,"Philippine Atmospheric, Geophysical, and Astronomical Services Administration","Philippine Atmospheric, Geophysical, and Astronomical Services Administration/summary.txt",12100,True,03-PAGASA2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,Philippine Council for Health Research and Development,Philippine Council for Health Research and Development/summary.txt,11119,True,03-PCHRD2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,"Philippine Council for Industry, Energy and Emerging Technology Research and Development","Philippine Council for Industry, Energy and Emerging Technology Research and Development/summary.txt",11071,True,03-PCIEERD2020_Executive_Summary.pdf,Executive Summary
6,pdf,0,Philippine Institute of Volcanology and Seismology,Philippine Institute of Volcanology and Seismology/summary.txt,12359,True,03-PHIVOLCS2020_Executive_Summary.pdf,Executive Summary
7,pdf,0,Philippine Nuclear Research Institute,Philippine Nuclear Research Institute/summary.txt,17692,True,03-PNRI2020_Executive_Summary.pdf,Executive Summary
8,pdf,0,Philippine Science High School System,Philippine Science High School System/summary.txt,14372,True,03-PSHSS2020_Executive_Summary.pdf,Executive Summary
6,pdf,0,Philippine Textile Research Institute,Philippine Textile Research Institute/summary.txt,11655,True,03-PTRI2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,Science and Technology Information Institute,Science and Technology Information Institute/summary.txt,9734,True,03-STII2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,Science Education Institute,Science Education Institute/summary.txt,10586,True,03-SEI2020_Executive_Summary.pdf,Executive Summary
6,pdf,0,Technology Application and Promotion Institute,Technology Application and Promotion Institute/summary.txt,12433,True,03-TAPI2020_Executive_Summary.pdf,Executive Summary
8,pdf,0,Department of Social Welfare and Development,Department of Social Welfare and Development/summary.txt,17116,True,03-DSWD2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,Council for the Welfare of Children,Council for the Welfare of Children/summary.txt,9836,True,03-CWC2020_Executive_Summary.pdf,Executive Summary
7,pdf,0,Inter-Country Adoption Board,Inter-Country Adoption Board/summary.txt,13684,True,03-ICAB2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,Juvenile Justice and Welfare Council,Juvenile Justice and Welfare Council/summary.txt,11342,True,03-JJWC2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,National Council on Disability Affairs,National Council on Disability Affairs/summary.txt,10515,True,03-NCDA2020_Executive_Summary.pdf,Executive Summary
9,pdf,0,Department of Tourism,Department of Tourism/summary.txt,24678,True,03-DOT2020_Executive_Summary.pdf,Executive Summary
10,pdf,0,Intramuros Administration,Intramuros Administration/summary.txt,25294,True,03-IA2020_Executive_Summary.pdf,Executive Summary
8,pdf,0,National Parks Development Committee,National Parks Development Committee/summary.txt,20655,True,03-NPDC2020_Executive_Summary.pdf,Executive Summary
54,pdf,3,Department of Trade and Industry - Management Letter,Department of Trade and Industry - Management Letter/summary.txt,127018,True,02-DTI2020_Management_Letter.pdf,Management Letter
23,pdf,2,Construction Industry Authority of the Philippines - Management Letter,Construction Industry Authority of the Philippines - Management Letter/summary.txt,50224,True,02-CIAP2020_ML.pdf,ML
22,pdf,0,Department of Transportation,Department of Transportation/summary.txt,46974,True,03-DOTr2020_Executive_Summary.pdf,Executive Summary
7,pdf,0,Civil Aeronautics Board,Civil Aeronautics Board/summary.txt,13822,True,03-CAB2020_Executive_Summary.pdf,Executive Summary
